Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,Mulheres,Homens,Responsavel
251370305000012,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,302,1048,3.47,2.46,837.84,613014.09,906.91,600866.06,487.29,484347.23,756.98,548371.14,NA,34,45,54,24,16,7,8,5,0,0,0,0,0,29,19,12,3,3,0,30,29,21,11,3,4,16,18,5,4,1,0,0,12,8,3,0,0,0,165,259,Homens
251370305000013,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,162,520,3.21,2.08,677.29,524811.87,767.28,525499.74,421.24,297400.03,676.28,305009.76,NA,11,26,23,10,2,3,6,1,1,0,0,0,0,10,12,5,0,0,0,28,19,12,7,4,1,10,13,6,2,0,0,0,15,8,0,0,0,0,125,110,Mulheres
251370305000014,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,232,838,3.61,3.03,666.44,220757.05,729.32,195610.97,363.02,179960.81,614.55,150004.51,NA,35,31,30,27,15,6,13,1,0,0,0,0,0,34,16,5,2,1,0,20,17,14,8,4,7,5,16,6,2,0,0,0,4,1,0,1,0,0,105,216,Homens
251370305000015,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,270,973,3.6,3.57,497.73,180428.74,579.25,162682.4,276.17,150068.83,536.53,151860.16,NA,27,36,43,20,10,5,14,2,0,0,0,0,0,25,16,7,3,0,0,25,30,22,15,7,7,9,18,10,5,3,0,0,7,5,0,1,0,0,164,208,Homens
251370305000016,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,211,755,3.58,3.01,434.86,115209.93,524.32,91872.58,244.83,93688.25,479.92,70755.49,NA,24,33,34,22,2,6,11,2,2,0,0,0,0,22,17,9,1,0,0,16,24,9,14,4,6,6,13,9,1,3,1,0,3,0,0,0,0,0,109,185,Homens
251370305000017,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,296,1092,3.69,3.38,401.96,78219.35,519.56,39834.22,223.48,80084.04,481.38,48278.74,NA,36,40,50,23,10,9,9,1,1,1,0,0,0,35,18,11,2,0,0,25,23,30,14,6,10,11,17,12,5,1,1,0,8,1,2,1,0,0,167,246,Homens
251370305000018,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,243,834,3.43,2.35,513.18,225057.67,652.9,194953.55,300.03,158558.72,596.63,138287.49,NA,35,39,31,19,6,5,9,0,0,0,0,0,0,35,16,5,2,0,0,20,30,23,12,4,4,6,12,11,3,1,0,0,8,7,1,0,0,0,142,202,Homens
251370305000019,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,166,559,3.37,2.78,344.52,177494.54,577.69,162773.34,248.91,148712.36,559.18,160644.99,NA,17,18,26,8,8,4,11,0,0,0,0,0,0,17,9,8,2,0,1,17,20,14,5,6,2,10,13,8,3,1,0,0,4,0,0,0,0,0,103,129,Homens
251370305000020,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,250,797,3.19,1.78,635.94,405817.35,712.94,400031.37,405.24,326232.78,656.02,363687.68,NA,31,55,25,19,6,1,8,6,0,0,0,0,0,25,26,7,3,0,0,30,23,25,11,2,2,12,16,9,4,0,0,0,14,3,0,1,0,0,152,212,Homens
251370305000021,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,179,589,3.29,2.45,737.53,398972.3,809.92,379380.77,489.03,345208.64,674.07,351113.86,NA,8,21,23,11,4,2,13,2,0,0,0,0,0,6,9,4,2,0,0,32,24,13,11,5,4,8,22,13,4,1,0,0,10,0,0,0,0,0,147,105,Mulheres
