Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
251370305000018,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,243,834,3.43,2.35,513.18,225057.67,652.9,194953.55,300.03,158558.72,596.63,138287.49,NA
251370305000019,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,166,559,3.37,2.78,344.52,177494.54,577.69,162773.34,248.91,148712.36,559.18,160644.99,NA
251370305000020,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,250,797,3.19,1.78,635.94,405817.35,712.94,400031.37,405.24,326232.78,656.02,363687.68,NA
251370305000021,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,179,589,3.29,2.45,737.53,398972.3,809.92,379380.77,489.03,345208.64,674.07,351113.86,NA
251370305000022,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,106,345,3.25,3.12,1016.42,1793151.29,1282.63,1922886.02,596.79,1038615.03,1072.15,1358094.48,NA
251370305000023,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,352,1176,3.34,2.33,1038.09,1145952.18,1145.48,1141472.66,598.3,710089.06,938.06,794739.44,NA
251370305000024,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,221,729,3.3,2.4,1090.31,1423098.19,1115.55,1427907.48,662.48,881249.81,952.31,991030.17,NA
251370305000025,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,215,773,3.6,1.82,537.93,400474.45,631.99,411112.77,349.73,314552.98,586.21,388811.27,NA
251370305000026,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,221,771,3.49,2.74,611.03,178487.86,671.83,155285.65,375.36,201052.11,640.76,173078.15,NA
251370305000027,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,232,840,3.62,2.99,626.9,883942.33,673.34,918310.79,357.57,408446.4,601.34,540618.99,NA
251370305000028,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,274,935,3.41,3.13,563.53,132820.16,610.3,115228.52,356.53,201528.03,543.35,205628.43,NA
251370305000029,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,303,1124,3.71,2.83,425.74,99688.94,474.26,87995.58,266.67,95029.64,443.49,79594.44,NA
251370305000030,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,158,554,3.51,3.33,430.13,111427.05,535.13,82211.21,237.9,97868.91,494.51,76439.8,NA
251370305000031,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,296,1097,3.71,3.66,317.5,131324.01,454.01,125783.51,273.94,104693.11,483.55,83400.66,NA
251370305000032,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,71,240,3.38,2.84,484.66,395494.03,688.22,422039.73,299.98,246423.52,615.58,312085.24,NA
251370305000033,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,295,1019,3.45,2.04,805.71,424902.81,867.46,403824.13,457.86,310075.99,750.49,288600.22,NA
251370305000034,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,261,925,3.54,2.2,983.84,2048976.04,1074.4,2140668.52,534.07,863837.4,830.32,1097475.53,NA
251370305000035,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,283,1022,3.61,2.35,644.08,361095.65,802.98,322418.42,344.53,291916.81,730.08,337213.8,NA
251370305000036,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,146,513,3.51,2.8,705.16,311059.14,779.95,285525.03,451.15,332550.12,708.52,339933.99,NA
251370305000037,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,224,799,3.57,2.08,666.71,293502.59,773.79,257596,380.84,217256.01,663.75,190795.68,NA
251370305000038,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,219,808,3.69,2.93,750.54,2305967.06,893.31,2618767.47,404.88,943943.63,742.46,1481817.89,NA
251370305000039,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,274,971,3.54,2.14,663.74,489723,754.63,488188.63,367.1,283624.19,652.89,317907.7,NA
251370305000040,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,178,602,3.38,2.31,698.85,420162.71,767.87,408588.82,425.77,318917.73,691.71,334211.25,NA
251370305000041,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,129,399,3.09,2.09,610.38,261405,690.69,240142.16,367.22,201030.74,647.27,172930.06,NA
251370305000042,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,255,858,3.36,2.37,691.1,1005738.14,740.46,1041173.18,411.25,486897.86,626.39,607091.98,NA
251370305000043,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,280,916,3.27,2.57,614.48,430351.33,656.7,432201.11,370.67,243983.45,586.41,259506.22,NA
251370305000044,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,288,987,3.43,2.15,802.5,1454144.84,895.82,1539971.44,466.82,709586.47,785.02,943931.2,NA
251370305000045,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,335,1050,3.13,2.43,1256.62,1300918.36,1315.53,1284356.96,745.56,938530.68,1103.07,994299.38,NA
251370305000046,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,354,1198,3.38,2.99,872.62,945713.43,977.55,956894.08,509.44,580483.49,851.54,679135.81,NA
251370305000047,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,254,963,3.79,2.8,903.55,881968.19,964.29,882689.14,517.7,2320749.08,815.74,3415730.86,NA
251370305000048,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,221,878,3.97,4.04,313.3,103277.39,484.2,76679.02,210.59,80786.05,468.57,58800.74,NA
251370305000049,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,194,762,3.93,4.19,391.31,55785.85,465.73,31586.98,202.63,75546.52,442.76,58693.03,NA
251370305000050,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,309,1069,3.46,2.43,614.48,233128.23,690.45,209410.77,358.05,216641.17,596.75,218628.97,NA
251370305000051,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,201,733,3.65,3.34,500.04,937761.23,580.97,1043127.92,291.02,414201.82,487.7,598714.68,NA
251370305000052,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,128,469,3.66,4.34,320.37,72404.99,422.75,52051.21,210.06,75056.27,413.52,63560.21,NA
251370305000053,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,317,1139,3.59,2.58,652.63,1423074.07,755.05,1569604.78,355.63,588362.46,633.43,872521.52,NA
251370305000054,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,208,734,3.53,2.27,849.18,4618277.4,929.63,4982929.81,461.77,1819519.4,797.48,2877489.73,NA
251370305000055,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,155,534,3.45,2.33,682.7,379731.03,761.29,363498.84,388.82,245569.8,648.51,241153.1,NA
251370305000056,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,273,982,3.6,2.51,831.32,1375892.76,890,1420964.52,462.28,619132.19,723.36,780226.71,NA
251370305000057,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,394,1391,3.53,2.45,648.68,608029.86,738.67,625958.92,410.81,388213.63,677.6,459654.65,NA
251370305000058,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,182,622,3.42,2.36,726.7,383902.65,826.62,353905.26,435.33,280778.08,719.29,259611.79,NA
251370305000059,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,134,472,3.52,2.66,716.47,500952.7,780.54,495697.56,420.23,300002.83,683.29,308085.84,NA
251370305000060,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,209,875,4.19,4.8,401.33,98679.69,511.46,69254.11,199.06,77520.9,470.45,55459.73,NA
251370305000061,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,113,413,3.65,3.26,409.18,66064.54,471.81,46427.27,241.07,69489.64,406.66,49784.27,NA
251370305000062,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,257,925,3.6,2.91,573.09,192440.79,616.25,180285.39,324.72,143663.14,529.4,125825.07,NA
251370305000063,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,203,743,3.66,3.62,473.45,215657.09,628.17,188766.01,336.82,159706.21,576.39,135151.75,NA
251370305000064,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,174,645,3.71,2.81,553.09,98922.9,629.01,64524.97,310.84,108078.26,570.21,50172.67,NA
251370305000065,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,284,962,3.39,2.32,1031.58,1154152.49,1081.06,1156027.98,584.36,700430.22,914.25,794408.1,NA
